"Subno"	"Condition"	"Experimenter"	"Gun_type"	"Power"	"Pilot"	"speech_protect"	"gun_protect"	"game_amend"	"gun_amendment"	"media_reg"	"gun_reg"	"ben_risk"	"glad_speech"	"glad_gun"	"AR_1"	"AR_2"	"AR_3"	"AR_4"	"AR_5"	"AR_6"	"AR_7"	"AR_8"	"AR_pay"	"want"	"need"	"us_gun_laws"	"us_rifle"	"guns_det"	"gun_carry"	"school_staff"	"per_1"	"per_2"	"per_3"	"per_4"	"magazine_cap"	"own_gun"	"list_gun_names"	"play_viol_games"	"viol_hours"	"pol_orien"	"Gender"	"Age"	"Race"	"Coll_year"	"GPA"	"p_key_value_1"	"p_key_value_2"	"Notes"	"amend1"	"amend2"	"AR_desire"	"AR_intent"	"AR_price"	"AR_price_blank"	"game_gun_desire"	"policy"	"magazine_cap_bin"
118	4	"Mallorie"	1	1	NA	7	6	6	6	5	7	5	7	5	7	5	NA	7	7	7	6	5	"900.000000"	5	2	1	1	1	4	6	15	30	15	5	30	0	NA	0	0	2	1	20	3	2	3.8	1	226	"no response for AR_3"	30	24	NA	18	900	0	7	13	"greater"
119	1	"Candice"	0	0	NA	6	3	3	3	4	3	3	4	3	2	1	2	4	5	2	1	1	"blank"	2	2	5	6	5	1	3	50	15	7	10	5	0	NA	0	0	3	0	19	5	1	3.79	4	75	NA	20	12	14	4	NA	1	4	20	"other"
120	3	"Candice"	0	1	NA	7	6	5	5	5	4	3	7	7	2	1	2	3	4	3	1	1	"0.000000"	1	1	2	3	1	1	1	15	10	5	10	10	1	"30/30 and 20/2"	1	1	5	1	19	5	1	3.91	1	334	NA	27	22	12	5	0	0	2	8	"other"
121	4	"Mallorie"	1	1	NA	5	4	5	5	3	3	3	6	4	3	4	3	4	4	5	2	2	"500.000000"	4	2	3	3	5	4	4	5	20	20	5	30	0	NA	1	10	2	1	19	5	1	3.85	0	529	NA	22	16	18	9	500	0	6	19	"greater"
122	1	"Mallorie"	0	0	NA	6	7	5	7	4	1	4	7	6	4	6	7	7	7	6	5	5	"300.000000"	3	5	1	1	1	6	4	30	25	50	30	30	1	"20gauge shotgun, pelletgun/bb gun"	0	0	2	0	19	5	1	3.3	7	103	NA	26	21	31	16	300	0	8	13	"greater"
123	3	"Mallorie"	0	1	NA	7	3	6	5	6	3	6	5	2	6	3	4	6	6	6	2	2	"300.000000"	5	2	3	4	3	4	2	10	5	1	1.5	15	0	NA	1	5	5	1	19	5	1	3.2	2	368	NA	30	13	25	10	300	0	7	16	"other"
124	2	"Mallorie"	1	0	NA	5	6	5	6	4	2	4	5	4	6	4	5	6	6	6	5	4	"500.000000"	4	3	3	1	1	5	5	7.5	5	10	1	15	1	"shotgun"	1	1.5	2	1	20	5	3	3	NA	NA	"participant had completely quit game when I walked in so I couldn’t get p-value. Looked like he quit at 11:49 from what was pulled up on the game summary. "	23	18	27	15	500	0	7	15	"other"
125	1	"Trina"	0	0	NA	4	2	3	3	4	2	2	6	2	1	1	6	4	7	1	1	1	"blank"	1	1	6	6	6	3	3	60	60	30	5	8	0	NA	1	3	2	1	20	5	2	2.75	4	187	NA	19	9	19	3	NA	1	2	24	"other"
126	2	"Trina"	1	0	NA	5	4	4	4	6	4	4	6	6	4	2	2	2	5	5	1	1	"1.000000"	1	1	2	4	4	3	2	5	10	5	5	20	0	NA	1	0	1	1	18	1	1	3.5	2	214	NA	25	18	15	7	1	0	2	15	"other"
127	4	"Trina"	1	1	NA	6	3	4	4	5	4	5	7	4	3	1	5	6	4	4	1	1	"blank"	1	1	5	5	4	6	5	15	5	3	10	7	0	NA	1	1	3	1	19	5	1	3.4	3	329	NA	27	15	19	6	NA	1	2	25	"other"
